ID	EXCLUDE	YEAR	TYPE	CITY	LOCATION	LATITUDE	LONGITUDE	STATIONTYPE	GROUNDLEVEL	CLOSEDOPEN	OCCUPANCY	TEMPERATURE	HUMIDITY	RAWPEREADS	CLEANPEREADS	PERCREADSREMOVEDRAW2CLEAN	COVERAGE	UNCLASSIFIED_FBAV2	UNCLASSIFIED_NCBINR	CLASSIFIEDREADS	CONTAMREADS	CONTAMPERC	CONTAMBACREADS	CONTAMBACPERC	CONTAMFUNGIREADS	CONTAMFUNGIPERC
SL310935	FALSE	2017	Sample	Hong Kong	Kowloon Tong	22.337199	114.175817	Bus_subway_interchange	Aboveground_mixed	NA	6000	NA	NA	10156960	7371860	27.42	0.2727292	74.32	32.39	866828	491271	56.67	267024	30.8	224247	25.87
SL310936	FALSE	2017	Sample	Hong Kong	Tai Wai	22.373025	114.178509	Bus_subway_interchange	Aboveground_mixed	NA	1600	NA	NA	12026214	7237352	39.82	0.3701668	59.25	17.69	1385039	876877	63.31	837634	60.48	39243	2.83
SL310937	FALSE	2017	Sample	Hong Kong	Che Kung Temple	22.374751	114.185998	Station_busstop	Aboveground_mixed	NA	1200	NA	NA	9707184	4900400	49.52	0.2880677	47.48	20.89	1074449	445485	41.46	399660	37.2	45825	4.26
SL310938	FALSE	2017	Sample	Hong Kong	Sha Tin Wai	22.376943	114.194785	Station_busstop	Aboveground_mixed	NA	1500	NA	NA	8183612	586426	92.83	0.2244232	45.75	20.73	134941	60917	45.14	51630	38.26	9287	6.88
SL310939	FALSE	2017	Sample	Hong Kong	Shek Kip Mei	22.331996	114.168759	Station_busstop	Underground	CLOSED	2240	NA	NA	8957024	4830924	46.07	0.3730661	30.71	11.31	1493917	767462	51.37	745294	49.89	22168	1.48
SL310940	FALSE	2017	Sample	Hong Kong	Prince Edward	22.325069	114.168319	Bus_subway_interchange	Underground	CLOSED	5600	NA	NA	8127848	3662514	54.94	0.2940932	35.19	13.9	1034549	530085	51.24	510323	49.33	19762	1.91
SL310941	FALSE	2017	Sample	Hong Kong	Sham Shui Po	22.331291	114.161786	Station_busstop	Underground	CLOSED	4800	NA	NA	11250314	5675706	49.55	0.3230363	35.87	13.77	1598096	775164	48.51	740502	46.34	34662	2.17
SL310942	FALSE	2017	Sample	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Station_busstop	Underground	CLOSED	1600	NA	NA	7846204	2514704	67.95	0.284603	39.19	16.92	663908	338752	51.02	321376	48.41	17376	2.62
SL310943	FALSE	2017	Sample	Hong Kong	Lai King	22.348727	114.126144	Bus_subway_interchange	Underground	CLOSED	4000	NA	NA	9268636	4911224	47.01	0.3293329	53.73	14.61	1065632	679700	63.78	648414	60.85	31286	2.94
SL310944	FALSE	2017	Sample	Hong Kong	Tsing Yi	22.359245	114.107165	Bus_subway_interchange	Underground	CLOSED	4400	NA	NA	7750468	4320396	44.26	0.3230973	49.37	13.7	1030964	674962	65.47	650833	63.13	24129	2.34
