taxonomy_id	name
40324	Stenotrophomonas maltophilia
2005046	Stenotrophomonas sp. WZN-1
2939415	Stenotrophomonas sp. NY11291
487698	Stenotrophomonas pavanii
216778	Stenotrophomonas rhizophila
2045451	Stenotrophomonas indicatrix
69	Lysobacter enzymogenes
339	Xanthomonas campestris
107445	Pseudomonas sp. A2
2169583	Pseudomonas sp. SXM-1
1259844	Pseudomonas sp. FGI182
2067572	Pseudomonas sp. NC02
2745519	Pseudomonas sp. OE 28.3
2812000	Pseudomonas sp. SDM007
1573718	Pseudomonas sp. S34
2920387	Pseudomonas sp. LS.1a
2866278	Pseudomonas sp. S07E 245
1636610	Pseudomonas sp. PONIH3
303	Pseudomonas putida
1940636	Pseudomonas shirazica
2219225	Pseudomonas asiatica
43263	Pseudomonas alcaligenes
287	Pseudomonas aeruginosa
301	Pseudomonas oleovorans
2906062	Pseudomonas wenzhouensis
1691904	Pseudomonas sediminis
101564	Pseudomonas alcaliphila
489632	Pseudomonas chengduensis
237610	Pseudomonas psychrotolerans
316	Stutzerimonas stutzeri
158836	Enterobacter hormaechei
549	Pantoea agglomerans
59814	Pantoea dispersa
40214	Acinetobacter johnsonii
2004644	Acinetobacter sp. WCHA45
108981	Acinetobacter schindleri
108980	Acinetobacter ursingii
28090	Acinetobacter lwoffii
40215	Acinetobacter junii
34062	Moraxella osloensis
480	Moraxella catarrhalis
729	Haemophilus parainfluenzae
2498451	Rheinheimera mangrovi
2762322	Variovorax sp. PAMC26660
34073	Variovorax paradoxus
558537	Delftia lacustris
358220	Acidovorax sp. KKS102
2478662	Acidovorax sp. 1608163
225991	Comamonas aquatica
190721	Ralstonia insidiosa
329	Ralstonia pickettii
488447	Burkholderia contaminans
119219	Cupriavidus metallidurans
82633	Cupriavidus pauculus
134537	Paraburkholderia fungorum
47671	Lautropia mirabilis
2732163	Limnobacter sp. SAORIC-580
2861284	Janthinobacterium sp. PAMC25594
1644131	Janthinobacterium sp. 1_2014MBL_MicDiv
1938606	Janthinobacterium sp. LM6
368607	Janthinobacterium svalbardensis
2590869	Janthinobacterium tructae
2861282	Massilia sp. NP310
863372	Herbaspirillum huttiense
85698	Achromobacter xylosoxidans
1353891	Achromobacter deleyi
